SA2_NAME21,livability_score,CrimeRate_2025,avg_affordability_ratio,foi_count
Loddon,0.8225953261876588,8286.653355581,0.2629733134857382,758.0
Glenelg (Vic.),0.8182024247502231,2990.531906281,0.634229546004743,832.0
Moyne - West,0.7917171811843109,0.0,0.5054045589592098,579.0
Mildura Surrounds,0.7774875515164206,3822.980111021,0.330788168825834,557.0
Alexandra,0.7607084010392112,0.0,0.3719370724624665,418.0
Yarriambiack,0.7415013070863792,7937.039003397,0.2570581127100956,573.0
Orbost,0.709860286696857,0.0,0.6118942689345973,486.0
Mansfield (Vic.),0.6870157584064946,8012.969342701,0.7000192312975632,783.0
Stawell,0.6793423867566165,6113.816513554,0.38005401609062894,469.0
Bright - Mount Beauty,0.6689422590887462,8012.969342701,0.6427343129493347,704.0
